Tiempo,Nivel del Mar
1/01/2013,1208.354839
1/02/2013,1294.821429
1/03/2013,1374.483871
1/04/2013,1282.766667
1/05/2013,1406.096774
1/06/2013,1398.666667
1/07/2013,1372.741935
1/08/2013,1401
1/09/2013,1412.4
1/10/2013,1482.677419
1/11/2013,1413.766667
1/12/2013,1308.806452
1/01/2014,1283.580645
1/02/2014,1271.857143
1/03/2014,1311.354839
1/04/2014,1320
1/05/2014,1371.83871
1/06/2014,1367.5
1/07/2014,1375.387097
1/08/2014,1410.290323
1/09/2014,1467.9
1/10/2014,1469.387097
1/11/2014,1434.166667
1/12/2014,1418.451613
1/01/2015,1274.322581
1/02/2015,1343.428571
1/03/2015,1241
1/04/2015,1345.633333
1/05/2015,1379.677419
1/06/2015,1324.933333
1/07/2015,1319.064516
1/08/2015,1418.903226
1/09/2015,1445.333333
1/10/2015,1452.483871
1/11/2015,1442.366667
1/12/2015,1374.354839
1/01/2016,1310.354839
1/02/2016,1336.965517
1/03/2016,1315.612903
1/04/2016,1395.833333
1/05/2016,1482
1/07/2016,1384.388889
1/08/2016,1389.774194
1/09/2016,1467.033333
1/10/2016,1505.677419
1/11/2016,1550.233333
1/12/2016,1326.580645
1/01/2017,1264.83871
1/02/2017,1312.821429
1/03/2017,1308.870968
1/04/2017,1369.133333
1/05/2017,1390.483871
1/06/2017,1398.666667
1/07/2017,1388.032258
1/08/2017,1403.483871
1/09/2017,1465.466667
1/10/2017,1494.483871
1/11/2017,1517.7
1/12/2017,1352.935484
1/01/2018,1356.322581
1/02/2018,1191.535714
1/03/2018,1329.193548
1/04/2018,1350
1/05/2018,1388.741935
1/06/2018,1312.633333
1/07/2018,1324.677419
1/08/2018,1384.677419
1/09/2018,1500.833333
1/10/2018,1492.709677
1/11/2018,1389.066667
1/12/2018,1303.741935
