Fecha,Precipitacion,Normal Climatica (1980-2010)
1980,155.200476,177.0641595
1981,191.6297769,177.0641595
1982,172.118996,177.0641595
1983,161.3227328,177.0641595
1984,193.0971484,177.0641595
1985,156.5759017,177.0641595
1986,169.8805304,177.0641595
1987,171.3412875,177.0641595
1988,193.8441607,177.0641595
1989,169.5296692,177.0641595
1990,166.7118719,177.0641595
1991,153.4492698,177.0641595
1992,146.0194764,177.0641595
1993,175.5576593,177.0641595
1994,175.7366662,177.0641595
1995,175.3814073,177.0641595
1996,193.3670662,177.0641595
1997,143.8311861,177.0641595
1998,186.7846454,177.0641595
1999,214.2221689,177.0641595
2000,186.5188857,177.0641595
2001,160.0054895,177.0641595
2002,159.697407,177.0641595
2003,173.209451,177.0641595
2004,177.9397133,177.0641595
2005,186.9557946,177.0641595
2006,191.1681117,177.0641595
2007,197.2139561,177.0641595
2008,203.4184168,177.0641595
2009,167.2635012,177.0641595
2010,219.9961199,177.0641595
2011,220.2072321,177.0641595
2012,175.8390339,177.0641595
2013,174.3389578,177.0641595
2014,166.1293904,177.0641595
2015,143.1504255,177.0641595
2016,175.2042441,177.0641595
2017,189.720004,177.0641595
2018,179.4581209,177.0641595
2019,172.1445729,177.0641595
2020,175.3472151,177.0641595
